sample,PG,mPG
474,0.1496117181884685,0.17041081947791412
475,0.1417239975794151,0.17416789776090616
476,0.1519236816920493,0.1659950439016646
477,0.1624244268597599,0.17297794653401782
478,0.1560447966247526,0.16820317295293905
479,0.154507710386832,0.16786673048688383
480,0.1565273141287614,0.17302034354752147
481,0.159684986143377,0.19556125390243062
482,0.1579951901260195,0.1714808989375286
483,0.1658705093924351,0.16601557690954885
484,0.1558388226283073,0.18575493270609145
485,0.1703139374532638,0.1774933054704782
486,0.1569493661462561,0.153412261895844
487,0.1595682829906132,0.14592294350688118
488,0.1534775569231355,0.17013921830828138
489,0.1533715925428755,0.1723728197410803
490,0.1529206229458721,0.17052738051911878
491,0.1504260232445211,0.15144920171144474
492,0.1529984089287413,0.15177187235193884
493,0.1584994295907199,0.15338845036733634
494,0.1581963709654299,0.14493624452437762
495,0.1619078161619511,0.1533163601531906
496,0.1870676236144562,0.14463280006926468
497,0.1881909798380914,0.15409013903022373
498,0.1771496474186829,0.1547508003265275
499,0.1751863247689987,0.15133741902071834
500,0.1726720047967562,0.15839623188670304
501,0.185282428490028,0.15140912955444003
502,0.1817050632261679,0.1941568885939695
503,0.1728086619527272,0.2001708381716392
504,0.1667600881669766,0.19728217825337396
505,0.1670123796317875,0.17100137030735557
506,0.1561455784088986,0.15163851016455576
507,0.1697083632559461,0.16480474717236654
508,0.1701769934991988,0.16401441235716688
509,0.1703023726684389,0.19627268041070503
510,0.1802463195973688,0.18052128095549147
511,0.1721014785706749,0.18160987091564634
512,0.1698682270415392,0.1806048497442887
513,0.170874821397703,0.19075052619348906
514,0.1682664774054525,0.18234243478851497
515,0.1810860433373556,0.16242879774215407
516,0.185221215890808,0.166772976945976
517,0.178302452697812,0.1633040076467779
518,0.1805717534700661,0.186335962872549
519,0.175216371188918,0.15795327424898173
520,0.1764074334626897,0.16566366811354644
521,0.1654956596532879,0.18273805360674059
522,0.1619589372298767,0.17315604617845765
523,0.1564667141157887,0.17269157688803685
524,0.1617913392196663,0.20200935278500914
525,0.1672353561316004,0.20242934261986112
526,0.1656826698868049,0.13357615610338927
527,0.1532681333649276,0.13991200884091717
528,0.1609690002666146,0.13446972823690675
529,0.1643473846126469,0.14048327802190752
530,0.1589628497050646,0.143556914163583
531,0.1514712688358251,0.14099512781040333
532,0.1483225539013673,0.14785009408414615
533,0.1387066628854157,0.14623721540641743
534,0.1435362516906113,0.14887201444172826
535,0.1448647499701982,0.14148199452497598
536,0.1581455615186659,0.1842989229134491
537,0.1580458552753706,0.1782075033607231
538,0.1549998690918242,0.24421946776920972
539,0.1490793892361248,0.1854193160316608
540,0.1492786218514083,0.1567643103203669
541,0.1531060383987985,0.16018550998259337
542,0.1480703269048058,0.14816708425432826
543,0.1523217793359106,0.15813380490910642
544,0.156545568518574,0.1522317339654892
545,0.1551614211177011,0.1424919064331394
546,0.1621516992687818,0.183422636746609
547,0.1744086739287434,0.15604503728397692
548,0.1732905768221275,0.1513625077893055
549,0.1805189770697728,0.1537578149551635
550,0.1730799118389814,0.1537556562938623
551,0.1615769429873783,0.1459901989746883
552,0.1471420778945785,0.15831740743020337
553,0.1474816189451855,0.14429792827172527
554,0.1467716882368403,0.14897232050199116
555,0.1430295381150234,0.19425659600173248
556,0.1352756123793749,0.16956609916544288
557,0.14047960536326,0.1799418813133978
